Time,Flags O2_Air,Value O2_Air,Unit O2_Air,Temp O2_Air,T.Unit O2_Air,Flags O2_2,Value O2_2,Unit O2_2,Temp O2_2,T.Unit O2_2,Flags O2_3,Value O2_3,Unit O2_3,Temp O2_3,T.Unit O2_3,Flags O2_4,Value O2_4,Unit O2_4,Temp O2_4,T.Unit O2_4,Flags pH_1,Value pH_1,Unit pH_1,Temp pH_1,T.Unit pH_1,Flags pH_2,Value pH_2,Unit pH_2,Temp pH_2,T.Unit pH_2,Flags pH_3,Value pH_3,Unit pH_3,Temp pH_3,T.Unit pH_3,Flags pH_4,Value pH_4,Unit pH_4,Temp pH_4,T.Unit pH_4,D130
"13/03/2015 0:21:06","0","53,7","mV","25,0","°C","0","-676,2","mV","25,0","°C","16","0,2","mV","22,5","°C","0","-767,5","mV","25,0","°C","16","-52,0","mV","25,5","°C","0","-51,1","mV","25,0","°C","0","-50,7","mV","25,0","°C","0","-49,9","mV","25,0","°C",""
"13/03/2015 0:21:26","0","53,7","mV","25,0","°C","0","-681,6","mV","25,0","°C","16","0,3","mV","22,6","°C","0","-773,7","mV","25,0","°C","16","-52,1","mV","25,5","°C","0","-51,0","mV","25,0","°C","0","-50,7","mV","25,0","°C","0","-49,8","mV","25,0","°C",""
"13/03/2015 0:21:46","0","53,7","mV","25,0","°C","0","-683,9","mV","25,0","°C","16","0,2","mV","22,6","°C","0","-766,4","mV","25,0","°C","16","-51,9","mV","25,4","°C","0","-50,9","mV","25,0","°C","0","-50,5","mV","25,0","°C","0","-49,6","mV","25,0","°C",""
"13/03/2015 0:22:06","0","53,7","mV","25,0","°C","0","-678,6","mV","25,0","°C","16","0,2","mV","22,6","°C","0","-771,3","mV","25,0","°C","16","-51,7","mV","25,4","°C","0","-50,7","mV","25,0","°C","0","-50,3","mV","25,0","°C","0","-49,4","mV","25,0","°C",""
"13/03/2015 0:22:26","0","53,7","mV","25,0","°C","0","-681,7","mV","25,0","°C","16","0,2","mV","22,6","°C","0","-776,0","mV","25,0","°C","16","-51,9","mV","25,4","°C","0","-50,9","mV","25,0","°C","0","-50,4","mV","25,0","°C","0","-49,3","mV","25,0","°C",""
"13/03/2015 0:22:46","0","53,7","mV","25,0","°C","0","-686,7","mV","25,0","°C","16","0,2","mV","22,6","°C","0","-782,0","mV","25,0","°C","16","-52,0","mV","25,4","°C","0","-50,9","mV","25,0","°C","0","-50,6","mV","25,0","°C","0","-49,7","mV","25,0","°C",""
"13/03/2015 0:23:06","0","53,7","mV","25,0","°C","0","-691,9","mV","25,0","°C","16","0,2","mV","22,6","°C","0","-788,0","mV","25,0","°C","16","-51,8","mV","25,4","°C","0","-50,7","mV","25,0","°C","0","-50,3","mV","25,0","°C","0","-49,2","mV","25,0","°C",""
"13/03/2015 0:23:26","0","53,7","mV","25,0","°C","0","-702,4","mV","25,0","°C","16","0,2","mV","22,6","°C","0","-795,5","mV","25,0","°C","16","-51,8","mV","25,4","°C","0","-50,7","mV","25,0","°C","0","-50,3","mV","25,0","°C","0","-49,2","mV","25,0","°C",""
"13/03/2015 0:23:46","0","53,7","mV","25,0","°C","0","-699,1","mV","25,0","°C","16","0,2","mV","22,6","°C","0","-803,7","mV","25,0","°C","16","-52,0","mV","25,4","°C","0","-50,8","mV","25,0","°C","0","-50,4","mV","25,0","°C","0","-49,3","mV","25,0","°C",""
"13/03/2015 0:24:06","0","53,7","mV","25,0","°C","0","-714,7","mV","25,0","°C","16","0,2","mV","22,7","°C","0","-810,3","mV","25,0","°C","16","-52,1","mV","25,4","°C","0","-50,9","mV","25,0","°C","0","-50,5","mV","25,0","°C","0","-49,5","mV","25,0","°C",""
"13/03/2015 0:24:26","0","53,7","mV","25,0","°C","0","-717,1","mV","25,0","°C","16","0,2","mV","22,7","°C","0","-814,8","mV","25,0","°C","16","-52,3","mV","25,4","°C","0","-51,1","mV","25,0","°C","0","-50,7","mV","25,0","°C","0","-49,7","mV","25,0","°C",""
"13/03/2015 0:24:46","0","53,7","mV","25,0","°C","0","-718,1","mV","25,0","°C","16","0,2","mV","22,7","°C","0","-817,0","mV","25,0","°C","16","-52,3","mV","25,4","°C","0","-51,1","mV","25,0","°C","0","-50,7","mV","25,0","°C","0","-49,8","mV","25,0","°C",""
"13/03/2015 0:25:06","0","53,7","mV","25,0","°C","0","-721,5","mV","25,0","°C","16","0,2","mV","22,7","°C","0","-821,3","mV","25,0","°C","16","-51,7","mV","25,4","°C","0","-50,7","mV","25,0","°C","0","-50,3","mV","25,0","°C","0","-49,3","mV","25,0","°C",""
"13/03/2015 0:25:26","0","53,7","mV","25,0","°C","0","-718,7","mV","25,0","°C","16","0,2","mV","22,7","°C","0","-816,1","mV","25,0","°C","16","-51,7","mV","25,4","°C","0","-50,7","mV","25,0","°C","0","-50,3","mV","25,0","°C","0","-49,3","mV","25,0","°C",""
"13/03/2015 0:25:46","0","53,7","mV","25,0","°C","0","-722,5","mV","25,0","°C","16","0,2","mV","22,7","°C","0","-822,8","mV","25,0","°C","16","-52,0","mV","25,4","°C","0","-51,0","mV","25,0","°C","0","-50,6","mV","25,0","°C","0","-49,7","mV","25,0","°C",""
"13/03/2015 0:26:06","0","53,7","mV","25,0","°C","0","-733,3","mV","25,0","°C","16","0,2","mV","22,7","°C","0","-834,8","mV","25,0","°C","16","-52,3","mV","25,4","°C","0","-51,1","mV","25,0","°C","0","-50,7","mV","25,0","°C","0","-49,7","mV","25,0","°C",""
"13/03/2015 0:26:26","0","53,7","mV","25,0","°C","0","-734,3","mV","25,0","°C","16","0,3","mV","22,8","°C","0","-831,6","mV","25,0","°C","16","-51,7","mV","25,4","°C","0","-50,7","mV","25,0","°C","0","-50,2","mV","25,0","°C","0","-49,8","mV","25,0","°C",""
